citycode:0512|poiid:B020019KNF|name:好食膳(狮山路店)|address:狮山路58号|location:120.566988,31.294296|tel:0512-68078107|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02000IZI3|name:江南秀宴会厅|address:苏州高新区狮山路1号东首新城花园酒店3楼|location:120.57144,31.293112|tel:0512-68250228|type:餐饮服务;中餐厅;江苏菜
citycode:0512|poiid:B02000J6NA|name:澄屋日本料理|address:高新区滨诃路1388号X2创意街区内(金山路口)|location:120.567315,31.299163|tel:0512-68025827|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B0FFF2JEEM|name:四季中餐厅|address:狮山路1号新城花园酒店|location:120.571778,31.293832|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B020019QGM|name:新城花园酒店-国宴厅|address:狮山路1号新城花园酒店新楼2楼|location:120.571778,31.293832|tel:0512-68182888|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02000IZWQ|name:蜀香汇|address:狮山路98号新城花园酒店|location:120.571792,31.293842|tel:0512-68323277|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:0512|poiid:B02001FS91|name:双胞胎羊肉馆|address:高新区狮山路158号旁|location:120.561725,31.29445|tel:15722642030|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001A0LF|name:澳门豆捞|address:苏州高新区狮山路118号|location:120.561751,31.29418|tel:0512-68322988|type:餐饮服务;中餐厅;火锅店
citycode:0512|poiid:B0200172M6|name:苏悦·精品餐饮|address:狮山路68号|location:120.561864,31.293692|tel:0512-66328188;0512-66321988;0512-66321377|type:餐饮服务;中餐厅;综合酒楼
citycode:0512|poiid:B0200173OY|name:润记港式茶餐厅(新区店)|address:新区商业街1号|location:120.562037,31.293193|tel:0512-66327988|type:餐饮服务;快餐厅;茶餐厅
citycode:0512|poiid:B020019ZYE|name:徐州饭店|address:浒关惠丰商业街|location:120.56168,31.294321|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001797E|name:味神乐|address:高新区商业街3号(近狮山路)|location:120.562062,31.292983|tel:0512-68410118;0512-68410818|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001CZ7S|name:一膳饭屋|address:淮海街3号|location:120.56159,31.29446|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:0512|poiid:B02001HO72|name:一心日本料理|address:高新区淮海街(近狮山路)|location:120.562085,31.292899|tel:0512-68315687|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02000JNM6|name:老筑地屋|address:新区商业街50号|location:120.56216,31.292771|tel:0512-68086619|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02000KBYF|name:美味咱家(滨河路店)|address:滨河路1388号|location:120.567635,31.299315|tel:0512-68021698|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B020019MWF|name:丽和苑(高新店)|address:淮海路商业街35号|location:120.562248,31.292574|tel:0512-66329318;0512-66329319|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020019MGK|name:香颂no.1食堂|address:淮海街|location:120.561545,31.295229|tel:0512-68760020|type:餐饮服务;快餐厅;快餐厅
citycode:0512|poiid:B02001CYSK|name:怡心园|address:苏州高新区滨河路金龙花园1号|location:120.568115,31.290428|tel:0512-68088879|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:0512|poiid:B02001A1C4|name:久久丫鸭颈王(淮海北路店)|address:淮海北路|location:120.561524,31.295206|tel:0512-60704089|type:餐饮服务;中餐厅;特色/地方风味餐厅|餐饮服务;中餐厅;特色/地方风味餐厅
citycode:0512|poiid:B02001II3S|name:吉兆 新区商业街店|address:淮海街42号|location:120.562198,31.292598|tel:0512-68087885|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001IJHS|name:淮海街商业街|address:新区狮山路与淮海街交界处|location:120.562212,31.292576|tel:|type:餐饮服务;外国餐厅;外国餐厅
citycode:0512|poiid:B0200178RY|name:友屋日本料理|address:新区商业街7号|location:120.562067,31.2928|tel:0512-68788981;0512-68327686|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001FTRW|name:宽锅|address:淮海路60号1层|location:120.561985,31.292932|tel:0512-68326994|type:餐饮服务;中餐厅;火锅店
citycode:0512|poiid:B02001II3K|name:筑前日本料理|address:淮海街302号|location:120.562082,31.292746|tel:0512-68325732|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001D666|name:鱼一|address:苏州高新区淮海街60号|location:120.56205,31.292772|tel:0512-65361087|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001D661|name:鸡本部|address:淮海街5幢A座|location:120.56205,31.292757|tel:0512-68250939|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02000IUG0|name:满堂春|address:苏州高新区狮山路1号新城花园酒店2层|location:120.5721,31.293858|tel:0512-68250228|type:餐饮服务;中餐厅;综合酒楼
citycode:0512|poiid:B02001BYA5|name:老大坊生煎(金山路店)|address:苏州高新区金山路27号狮山新苑内(近菜市场)|location:120.56142,31.295395|tel:15190069651|type:餐饮服务;快餐厅;快餐厅
citycode:0512|poiid:B0FFF34PKI|name:骨汤麻辣烫|address:淮海街|location:120.561604,31.293193|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001790A|name:顺子日本料理(苏州店)|address:淮海路2号|location:120.561605,31.293104|tel:0512-68255207|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001A1FL|name:创·味彩|address:商业街8号|location:120.561582,31.293063|tel:0512-68071828;0512-68078382|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001G649|name:竹屋食品屋|address:高新区狮山路狮山花苑2号|location:120.56118,31.295212|tel:0512-68321077;18913589557|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020019OJ2|name:次郎|address:商业街8号|location:120.561701,31.292767|tel:0512-68071858|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001CK52|name:杨绿馄饨|address:塔园路338号2幢-10|location:120.562162,31.292075|tel:0512-66674754|type:餐饮服务;快餐厅;快餐厅
citycode:0512|poiid:B02001799B|name:蛙蛙叫干锅年代(新区店)|address:新区商业街21号|location:120.562134,31.292067|tel:0512-68765877;4000512577|type:餐饮服务;中餐厅;火锅店
citycode:0512|poiid:B02001IRWU|name:兰州牛肉拉面|address:苏州高新区淮海街商业街北面|location:120.561125,31.295164|tel:|type:餐饮服务;中餐厅;清真菜馆
citycode:0512|poiid:B02000JYG5|name:叙叙苑碳火烧肉|address:淮海街23号3幢F号|location:120.562127,31.291944|tel:0512-68326163;13912632762|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02000J1SG|name:巴味红门蛙蛙叫干锅(运河路店)|address:高新区运河路28号狮山永利广场C区17号|location:120.572703,31.294282|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B020006AA8|name:祥福鸡|address:狮山路狮山新苑南区附近|location:120.560971,31.29552|tel:0512-68098300;0512-68039300|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:0512|poiid:B020019OMX|name:阳光早餐|address:狮山新苑门口|location:120.561,31.2957|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:0512|poiid:B020017925|name:朝日屋(高新店)|address:淮海街18号|location:120.561683,31.292334|tel:0512-68094339|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001IJHX|name:居酒屋|address:淮海街商业街18号|location:120.561597,31.292431|tel:|type:餐饮服务;外国餐厅;外国餐厅
citycode:0512|poiid:B02001D6AR|name:明日叶|address:狮山路商业街18号|location:120.56173,31.292233|tel:0512-68256032|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001DA7Z|name:武藏野|address:商业街21号|location:120.56176,31.292089|tel:|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020017JPH|name:印度家&绿风|address:高新区狮山路狮山花苑底商(近狮山宾馆)|location:120.560833,31.295642|tel:0512-68089770|type:餐饮服务;外国餐厅;印度风味
citycode:0512|poiid:B02001796X|name:蓝屋|address:高新区新区淮海路24号|location:120.561703,31.291939|tel:0512-68098382|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001B08Q|name:川·留香|address:高新区商业街24号|location:120.561714,31.291852|tel:0512-81660957|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:0512|poiid:B020019NHS|name:神宫日本料理|address:苏州高新区淮海街29号|location:120.562108,31.291348|tel:0512-67361029|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020017TVY|name:谷川西餐厅|address:高新区狮山新苑106号|location:120.560564,31.295842|tel:0512-68079821|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020001PCS|name:新煲酒家|address:淮海路商业街39号|location:120.562207,31.291028|tel:0512-68251076|type:餐饮服务;中餐厅;综合酒楼
citycode:0512|poiid:B02001JWHA|name:山水日本料理|address:淮海路商业街28号1-4层|location:120.56174,31.291483|tel:0512-68247880;18051736100|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020017JOF|name:布拉诺意大利家庭料理|address:新区商业街39号|location:120.562211,31.290983|tel:0512-68325086|type:餐饮服务;外国餐厅;意式菜品餐厅
citycode:0512|poiid:B001819NX2|name:泉水日本料理|address:苏州高新区淮海街35号(近狮山路)|location:120.56205,31.29106|tel:0512-68247880;18051736100|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020017TXD|name:绿风西洋料理|address:狮山路狮山花苑底商|location:120.560363,31.295752|tel:0512-68089770|type:餐饮服务;外国餐厅;外国餐厅
citycode:0512|poiid:B02000K0BM|name:福建沙县小吃(金辰楼北)|address:淮海街49号(金辰楼北)|location:120.56334,31.290083|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001CZOR|name:长江鲜宴|address:苏州高新区玉山路28号金龙大酒店|location:120.56852,31.289406|tel:0512-68253538|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02000IULB|name:金龙大酒店中餐厅(玉山路)|address:苏州新区玉山路28号|location:120.568667,31.289399|tel:0512-62000901;13338661079;0512-68253538|type:餐饮服务;中餐厅;江苏菜
citycode:0512|poiid:B020019NJ3|name:周氏鱼头王|address:塔园路马浜商业街7幢11号|location:120.568149,31.300472|tel:13451981849|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001EJZM|name:松坂烧肉|address:高新区淮海街40号|location:120.56198,31.290821|tel:0512-68251151|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001IJHM|name:GoldenAgeWestemRestaurant|address:江苏省苏州市玉山路28号|location:120.568333,31.289201|tel:|type:餐饮服务;外国餐厅;外国餐厅
citycode:0512|poiid:B02001A1JN|name:东吴面馆(金山路店)|address:金山路滨河路派出所旁|location:120.560435,31.29676|tel:0512-67895938|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B020001KVW|name:伊藤园|address:淮海街38号伊藤园2楼(近狮山路)|location:120.561775,31.290983|tel:0512-68781908;0512-68080887;0512-68097677|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001FTY3|name:风雅亭日本料理|address:淮海街65(商业街45号)|location:120.562275,31.290544|tel:0512-68787196|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020019N6X|name:清寿司|address:淮海街|location:120.56228,31.29042|tel:0512-68414050|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020001G9J|name:筑地屋日本料理(金辰楼北)|address:淮海路43号|location:120.562243,31.290432|tel:0512-68086619;0512-68251797|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B0200172F2|name:聚新春面馆(邓尉路店)|address:高新区邓尉路9号润捷广场|location:120.56767,31.30072|tel:0512-68028978|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001D9L9|name:弁当|address:高新区商业街38号|location:120.5619,31.290676|tel:0512-68080887|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020017TVT|name:富士屋日本料理|address:商业街45号(近狮山路)|location:120.562263,31.290377|tel:0512-68257719|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02000K27Z|name:百盛阿雷|address:邓尉路9号润捷广场1层|location:120.56781,31.300734|tel:0512-68080888;0512-68080777;0512-68097888|type:餐饮服务;中餐厅;综合酒楼
citycode:0512|poiid:B020019O69|name:四季亭|address:淮海路商业街45号|location:120.56216,31.29041|tel:0512-68257719|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020019Z04|name:和味家日本料理|address:淮海街49号|location:120.562205,31.290301|tel:0512-68055022|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001II3R|name:松阪炭火烤肉|address:淮海街8附近|location:120.561811,31.290558|tel:|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:0512|poiid:B020017JPF|name:万鱼亭日本料理|address:高新区新区商业街南出口|location:120.562289,31.29006|tel:0512-66620777|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001796D|name:金玉良缘大酒店|address:玉山路43号|location:120.56866,31.288873|tel:0512-68080955;0512-82137771;0512-82137888|type:餐饮服务;中餐厅;江苏菜
citycode:0512|poiid:B020019LIB|name:一番馆日本料理|address:苏州高新区淮海街|location:120.562281,31.289985|tel:0512-68097000|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020017TW0|name:气力苑烤肉店|address:淮海路商业街61号|location:120.562281,31.289879|tel:0512-62692561|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001D0BW|name:食客汇快餐店|address:苏州高新区玉山路78号旁|location:120.56408,31.28886|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:0512|poiid:B02001CYYI|name:味噌拉面(苏州店)|address:淮海街|location:120.561844,31.289972|tel:13912631330|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020005IJL|name:本草人生健康餐厅|address:滨河路846号(玉山路口)|location:120.570241,31.289056|tel:0512-68071747;0512-68082747|type:餐饮服务;中餐厅;中式素菜馆
citycode:0512|poiid:B02001F209|name:金记羊肉|address:邓尉路103号|location:120.56285,31.300376|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B020019Z5F|name:辣得跳川菜馆|address:淮海街永和村(近乐购)|location:120.56207,31.28977|tel:0512-68057431|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:0512|poiid:B02001A10K|name:聚新春面馆玉山路店|address:玉山路76号华达大厦旁|location:120.564137,31.288719|tel:0512-68180590|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001AZIH|name:麦伍圆(玉山路店)|address:玉山路新区商业街(玉山路口)|location:120.564131,31.288705|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B020019KJN|name:意大利古老鲨鱼名店|address:玉山路18号|location:120.572574,31.290448|tel:0512-68323559;13306135668|type:餐饮服务;外国餐厅;意式菜品餐厅
citycode:0512|poiid:B020017TWM|name:割烹日本料理|address:虎丘区新区|location:120.56233,31.289495|tel:0512-68321299;0512-62399777|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001K0JN|name:锦日本料理|address:高新区淮海街57号2楼|location:120.562075,31.289542|tel:0512-65563593|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020005LPN|name:稻谷香砂锅粥(新区店)|address:高新区商业街南16-5号|location:120.562312,31.289386|tel:0512-68090043|type:餐饮服务;中餐厅;广东菜(粤菜)
citycode:0512|poiid:B02001K36U|name:漫料理教室|address:高新区狮山路166号阳光百货|location:120.55914,31.29355|tel:|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020019NYC|name:梦境庵日本料理|address:淮海商业街16-6号|location:120.562297,31.289379|tel:0512-68410757;0512-68788981|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02000KBW0|name:布衣寒舍(邓尉路店)|address:邓蔚路何山花园25栋|location:120.562903,31.300676|tel:0512-62122317;0512-66677177;0512-68789928|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:0512|poiid:B02001FVCG|name:好食汇|address:何山花园南门旁|location:120.562824,31.300674|tel:18068013117|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001ICH9|name:绿洲西餐音乐吧|address:苏州近郊新区淮海街11号(本色娱乐旁)|location:120.56188,31.28951|tel:18013513222|type:餐饮服务;外国餐厅;西餐厅(综合风味)
citycode:0512|poiid:B02000J1SR|name:蜀九香火锅|address:淮海街|location:120.561799,31.289549|tel:|type:餐饮服务;中餐厅;火锅店
citycode:0512|poiid:B020019N86|name:蜀家人川菜酒楼|address:邓尉路何山花园25幢西|location:120.5626,31.30063|tel:|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:0512|poiid:B02001IGA7|name:云上创意云南菜|address:狮山路199号新地阳光百货|location:120.55906,31.2932|tel:0512-68558569;0512-68558568|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B020019L3H|name:苏州兰生|address:运河路28号|location:120.573831,31.291507|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001ITAR|name:1973继光香香鸡(阳光百货店)|address:狮山路199号阳光百货三楼(近希望先生)|location:120.55913,31.292946|tel:0512-68558515|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001CZMI|name:快7餐饮连锁玉山店|address:如家快捷酒店新区商业街店旁|location:120.56326,31.288706|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:0512|poiid:B020017TXO|name:三江源牛肉拉面|address:高新区淮海街10号|location:120.56234,31.289148|tel:0512-61081173|type:餐饮服务;中餐厅;清真菜馆
citycode:0512|poiid:B02000IZRG|name:鱼匠炉端烧|address:玉山路80号(近商业街)|location:120.563525,31.288582|tel:0512-68311819|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02000JY0I|name:北海道|address:高新区淮海路商业街11号|location:120.561654,31.28958|tel:0512-68258777|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020019L6L|name:万福鱼头王|address:高新区金山路(近圣爱医院)|location:120.559163,31.297006|tel:0512-68073977|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001II3T|name:兆治日本料理|address:淮海街11号|location:120.56189,31.289363|tel:0512-66652677|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B020019ZIN|name:布衣寒舍(玉山路店)|address:玉山路80号(滨河路西侧)|location:120.56322,31.288626|tel:13372100789|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:0512|poiid:B020019L33|name:杂粮食府|address:是高新区玉山路黄埔街77号金龙大酒店向南200米|location:120.566574,31.287893|tel:0512-68321777;0512-68321999|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001HNRP|name:云南过桥米线(邓尉路店)|address:塔园路336号|location:120.561519,31.300142|tel:0512-89573047;13451514578|type:餐饮服务;快餐厅;快餐厅
citycode:0512|poiid:B02001E7YJ|name:五街道|address:苏州近郊淮海街14号|location:120.56234,31.28901|tel:|type:餐饮服务;外国餐厅;韩国料理
citycode:0512|poiid:B02001FT9V|name:大吉|address:淮海街8号(狮山路)|location:120.56191,31.289228|tel:0512-68071858|type:餐饮服务;外国餐厅;外国餐厅
