citycode:0591|poiid:B024F0VANL|name:家家香|address:八一七北路187安泰中心145号(近织锦巷)|location:119.30044,26.08242|tel:|type:餐饮服务;中餐厅;福建菜
citycode:0591|poiid:B024F05U0J|name:华莱士(南后街)|address:南后街58|location:119.29688,26.082149|tel:0591-88562517|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0VRGP|name:菲常牛牛排(南后街店)|address:南后街15号(三坊七巷中段)|location:119.297343,26.080942|tel:0591-88319949|type:餐饮服务;外国餐厅;牛扒店(扒房)
citycode:0591|poiid:B024F05U0L|name:吉善人家|address:南后街68-70|location:119.296821,26.082346|tel:0591-87627137;0591-87522297|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0UIMK|name:鼎鼎百年肉绒店|address:南后街40号|location:119.296981,26.081496|tel:0591-87534671|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0XZOW|name:德坤缘商务会所|address:南后街三坊七巷黄巷21号(近东街口)|location:119.29684,26.082731|tel:0591-87325880|type:餐饮服务;中餐厅;广东菜(粤菜)
citycode:0591|poiid:B024F05KRZ|name:斗牛士牛排餐厅(大洋百货店)|address:八一七北路133号大洋百货8楼(重庆小天鹅楼下)|location:119.300487,26.084265|tel:0591-87615292|type:餐饮服务;外国餐厅;牛扒店(扒房)
citycode:0591|poiid:B024F05T70|name:味千拉面(八一七北路店)|address:八一七北路133号大洋百货B1层|location:119.300501,26.084273|tel:0591-88319168|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0V5QY|name:舌头记|address:南后街光禄坊A地段3号铺|location:119.296787,26.08263|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VBQU|name:高丽菜冷面馆|address:八一七北路187号安泰中心B区2楼织段巷(近米诺卡咖啡屋)|location:119.30181,26.082035|tel:15959005787;13774514016|type:餐饮服务;外国餐厅;韩国料理
citycode:0591|poiid:B024F05KSL|name:重庆小天鹅(大洋东街店)|address:八一七北路133号大洋百货9层|location:119.300512,26.084281|tel:0591-88319177;0591-88319159|type:餐饮服务;中餐厅;火锅店
citycode:0591|poiid:B024F0VRGD|name:立日有(南后街店)|address:南后街82号|location:119.29674,26.08264|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0X481|name:上果橄榄|address:南后街|location:119.296948,26.081021|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VLJD|name:涮天下老北京涮肉|address:八一七北路88号东百大厦B区9层(近南街)|location:119.299126,26.084745|tel:0591-88208588;0591-88209588|type:餐饮服务;中餐厅;火锅店
citycode:0591|poiid:B024F04VMZ|name:中森百汇日本时尚料理|address:八一七北路189号安泰中心11座2层|location:119.301961,26.081679|tel:0591-87600056;0591-87618912|type:餐饮服务;外国餐厅;日本料理
citycode:0591|poiid:B024F04ZO3|name:萨贝尔意式餐厅|address:八一七北路88号东百大厦24-25层|location:119.298803,26.084838|tel:4008777551;0591-87551829;0591-87670667;0591-87623667|type:餐饮服务;外国餐厅;意式菜品餐厅
citycode:0591|poiid:B0FFF2KOQL|name:南营巷小吃店|address:南营巷71附近|location:119.30196,26.08345|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0VBIW|name:蒸膳美|address:八一七北路88号福州东百东街店B1层|location:119.299089,26.084976|tel:0591-87300705;18396529689;0591-28315588;0591-83886958|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F05U0T|name:同利肉燕老铺|address:南后街106-108|location:119.296508,26.083677|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VBZS|name:品日有|address:花巷尾段石井巷|location:119.301122,26.084634|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F04VN5|name:妯娌老鸭粉丝馆(福州旗舰店)|address:石井巷74号|location:119.301074,26.084713|tel:13859035299;0591-87117199|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0ZXHS|name:百家料理|address:鼓楼区安泰夜市B区第三通道|location:119.30213,26.080816|tel:13675080232|type:餐饮服务;外国餐厅;日本料理
citycode:0591|poiid:B024F0VJ1W|name:陈嫂香辣老鹅骨头汤|address:石井巷72附近|location:119.301104,26.084772|tel:0591-88837998;13805012238|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F05KRT|name:厨房印象|address:八一七北路84号10层|location:119.298991,26.085308|tel:0591-83385777;0591-83385717|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F05VSN|name:万象蔓谷(福州市物价局东北)|address:八一七北路84号|location:119.299001,26.085317|tel:0591-88803555|type:餐饮服务;外国餐厅;泰国/越南菜品餐厅
citycode:0591|poiid:B024F0VQBB|name:涮天下东百东街店|address:东百东街店B区9层(|location:119.299236,26.085347|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VALS|name:酒井拉面|address:玉山河巷1|location:119.297403,26.079698|tel:0591-87617666;0591-83311471;0591-87760517|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0ZA29|name:古江头|address:南后街光禄坊A地段3|location:119.297083,26.079896|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0V4KY|name:摩筒比萨(三坊七巷店)|address:吉庇路(近三坊七巷)|location:119.297217,26.079797|tel:15606996536|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0UJK9|name:酒有酒食府|address:八一七北路84号东百大厦9层|location:119.298951,26.08538|tel:0591-83355919;0591-83663919|type:餐饮服务;中餐厅;海鲜酒楼
citycode:0591|poiid:B024F0XSHF|name:道地台湾|address:澳门路34|location:119.29744,26.079603|tel:0591-88000288|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0VRGM|name:汇烹家|address:东泰路128号碧玉花园1号楼汇烹美食城(近大洋百货)|location:119.302854,26.082808|tel:0591-87617339|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0U1OL|name:福千井拉面|address:澳门路30|location:119.297425,26.079469|tel:0591-87673222|type:餐饮服务;外国餐厅;日本料理
citycode:0591|poiid:B024F0VINV|name:原家沙县小吃|address:东泰路碧玉花园1号楼1层东侧|location:119.302892,26.08284|tel:0591-87506652|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F05UO1|name:华莱士(织缎巷店)|address:织缎巷与东泰路交叉口|location:119.302943,26.082853|tel:0591-83110888|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0VR6S|name:便所主题餐厅(南后街店)|address:杨桥东路98号三友大厦2层(东百停车场旁)|location:119.298338,26.085511|tel:0591-83972583|type:餐饮服务;休闲餐饮场所;休闲餐饮场所
citycode:0591|poiid:B024F0ZXI6|name:意披萨|address:鼓楼区营房里6-7号|location:119.29706,26.079615|tel:|type:餐饮服务;外国餐厅;意式菜品餐厅
citycode:0591|poiid:B024F05KN5|name:意美乐(乐客餐厅)|address:杨桥东路99号|location:119.298376,26.085521|tel:0591-87507889|type:餐饮服务;外国餐厅;意式菜品餐厅
citycode:0591|poiid:B024F0U88O|name:牛角烧烤火锅|address:东街口杨桥东路三友大厦3楼(东百停车场入口)|location:119.298391,26.085539|tel:0591-83858171;4000509507;0591-83893220|type:餐饮服务;中餐厅;火锅店
citycode:0591|poiid:B024F0VHOQ|name:揽季(三坊七巷店)|address:澳门路28|location:119.297426,26.079333|tel:0591-87775757|type:餐饮服务;中餐厅;火锅店
citycode:0591|poiid:B024F0XS5P|name:阿强元宵水饺店|address:东泰路176号|location:119.302959,26.083165|tel:0591-87617220|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0VHC3|name:盛世经典牛排(澳门路)|address:澳门路24号A1座1楼3号店面(近民生银行对面)|location:119.297852,26.079127|tel:0591-83272806;0591-87527397|type:餐饮服务;外国餐厅;牛扒店(扒房)
citycode:0591|poiid:B024F05KGM|name:兰州正宗牛肉拉面店|address:东泰路176号|location:119.302955,26.083185|tel:0591-87617220|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0ZX4E|name:盛世景点|address:杨桥西路121-137号晨光商业楼2楼店|location:119.297767,26.07915|tel:0591-88178657|type:餐饮服务;冷饮店;冷饮店|餐饮服务;外国餐厅;牛扒店(扒房)
citycode:0591|poiid:B024F04VN0|name:盛世经典牛排(东泰路)|address:津泰路92号华夏公馆|location:119.303067,26.081855|tel:0591-87505181|type:餐饮服务;外国餐厅;西餐厅(综合风味)
citycode:0591|poiid:B024F01JFE|name:宏达川菜(东泰路)|address:东泰路182|location:119.303024,26.083006|tel:0591-87548690|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:0591|poiid:B024F050CP|name:重庆牛肉米线馆(东泰路)|address:东泰路180|location:119.303015,26.08305|tel:0591-87538994|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F04JJC|name:吴记拾锦锅(东泰店)|address:东泰路178|location:119.303009,26.083095|tel:13706942919;0591-87508741|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VBUC|name:河东骏丰园|address:东泰路128号碧玉花园1号3楼(近军门社区服务大楼)|location:119.302835,26.083589|tel:0591-87617339|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:0591|poiid:B024F0XXDQ|name:80美食餐厅|address:澳门路26号(南后街三坊七巷)|location:119.297469,26.079248|tel:0591-83228873|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F05KT9|name:锁铃东北饺子园|address:杨桥东路8号东方百货8楼东百美食广场(近新华都)|location:119.298451,26.085652|tel:0591-87617666|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:0591|poiid:B024F05KT6|name:清香园|address:杨桥路1号东方百货8楼美食广场(近新华都)|location:119.298454,26.085659|tel:0591-87617666|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F01QYF|name:周记小黄牛牛肉馆|address:东泰路160|location:119.302948,26.083371|tel:0591-87544282;13506994561|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VHL3|name:台湾欢乐主题餐厅|address:澳门路24|location:119.297453,26.079225|tel:0591-83972583|type:餐饮服务;中餐厅;台湾菜
citycode:0591|poiid:B024F0ZMYN|name:德庄火锅(东街店)|address:杨桥路99号三友大厦2楼(东百停车入口旁)|location:119.29829,26.08565|tel:0591-87561388|type:餐饮服务;中餐厅;火锅店
citycode:0591|poiid:B024F0VP7J|name:鑫源阁私房菜馆|address:三坊七巷澳门路9号玉山涧巷4号|location:119.297013,26.079445|tel:0591-88562899;0591-88562699|type:餐饮服务;中餐厅;福建菜
citycode:0591|poiid:B024F04AAY|name:香香川菜(东泰路总店)|address:东泰路230号|location:119.303192,26.082466|tel:0591-87559553|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:0591|poiid:B024F0XXRF|name:爽爽小吃店|address:东泰路184号(宏达川菜旁)|location:119.30315,26.08293|tel:18695781662|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0YTNS|name:林记小吃|address:东泰路134号(碧玉花园)|location:119.30281,26.08386|tel:15880000492|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0U9I3|name:揽季(东泰路)|address:东泰路264|location:119.30322,26.082125|tel:0591-87509211;0591-87554009|type:餐饮服务;中餐厅;火锅店
citycode:0591|poiid:B024F0VRET|name:黄则和(金辉店)|address:八一七北路249号|location:119.301,26.0791|tel:15715949959|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0XTC7|name:品福鲜捞|address:东泰路148号|location:119.30287,26.083824|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VBOT|name:水浒传卷饼大王|address:福州市鼓楼区杨桥路三坊七巷15号店(三坊七巷路口亭子背后)|location:119.29622,26.08459|tel:13655022491;15960052498|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VHCN|name:佳丽花园|address:三坊七巷|location:119.296898,26.079282|tel:0591-88360777;0591-88362999|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VI65|name:泰牛火锅餐厅|address:营房里6-5号|location:119.296837,26.079271|tel:0591-83893777|type:餐饮服务;中餐厅;火锅店
citycode:0591|poiid:B024F05RRW|name:明记炖品世家(金晖店)|address:八一七北路249号金晖大厦|location:119.301414,26.079073|tel:0591-87671977;0591-87607177|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0Z02O|name:凡塔斯牛排(三坊七巷店)|address:杨桥东路17号中闽大夏C座2层|location:119.297158,26.085492|tel:0591-87662697|type:餐饮服务;外国餐厅;外国餐厅
citycode:0591|poiid:B024F05TIN|name:马哩奥咖啡意大利西餐|address:南后街133|location:119.296396,26.085043|tel:0591-87665299|type:餐饮服务;外国餐厅;意式菜品餐厅
citycode:0591|poiid:B024F0V7B2|name:食陆町回转寿司(海峡影城店)|address:东街3号海峡影城大厅1层|location:119.301173,26.085731|tel:0591-87625665|type:餐饮服务;外国餐厅;日本料理
citycode:0591|poiid:B024F0X43Q|name:日の船章鱼小丸子|address:津泰路口|location:119.303552,26.081965|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0Z04C|name:78时尚煮艺餐厅|address:东泰路军门社区碧玉花园1号楼|location:119.303,26.084204|tel:0591-87666297|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VPN5|name:传统牛肉面|address:澳门路安泰河畔内|location:119.297745,26.078674|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0YDYY|name:东街店|address:杨桥东路11号中闽大厦A幢1楼0101号铺|location:119.297066,26.085628|tel:0591-83787811;0591-88209588|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VC7L|name:蹄包破店|address:东泰路|location:119.30308,26.084254|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B0FFF2QUTT|name:阿铭饭庄|address:道山路85|location:119.29984,26.078377|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F04GV8|name:大福粥|address:八一七路187号安泰中心织缎巷|location:119.300214,26.078416|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F04Y35|name:金长沙县小吃|address:澳门路11-13|location:119.297968,26.078505|tel:15959191692|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F01PE9|name:东泰川菜|address:东泰路72号|location:119.303028,26.084453|tel:0591-87609955|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:0591|poiid:B024F04HJI|name:大福星鱼丸(福建省妇幼保健院&福建省妇儿医院儿童保健西)|address:澳门路9|location:119.297982,26.078455|tel:0591-87617666;0591-87258759|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F04Y34|name:安泰拾锦锅边(道山路)|address:道山路84号(近林则徐纪念馆)|location:119.29825,26.078379|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0ZF6Q|name:源味清汤面|address:道山路101-10|location:119.29942,26.078265|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F04AO2|name:麦当劳(杨桥店)|address:杨桥路8号东方百货东街店|location:119.298499,26.086255|tel:0591-87549234|type:餐饮服务;快餐厅;麦当劳
citycode:0591|poiid:B024F0VRDZ|name:立日有(澳门路店)|address:澳门路3号(林则徐纪念馆对面)|location:119.298,26.078411|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0YT66|name:十香九制一碗面|address:杨桥东路东方百货8层|location:119.298842,26.086335|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F04VM1|name:福州时代友超鱼丸(总店)|address:东泰路59|location:119.302979,26.084651|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VR2Z|name:尚干手工米线|address:东泰路53|location:119.30293,26.084717|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0VI6A|name:麦当劳(建兴大厦东)|address:杨桥路东方百货东塔楼18楼|location:119.296522,26.085527|tel:|type:餐饮服务;快餐厅;麦当劳
citycode:0591|poiid:B024F0VHOW|name:美馨餐厅|address:杨桥东路17号中闽大厦C座2层(三坊七巷正门附近)|location:119.296522,26.085527|tel:0591-87502711;0591-87507211|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VGDQ|name:雍和会|address:三坊七巷光禄坊|location:119.295875,26.079583|tel:0591-88618111;0591-88506567;0591-88619555|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VR3Z|name:One碳烤牛排|address:杨桥东路8号东方百货8层|location:119.298466,26.086306|tel:0591-87671998|type:餐饮服务;外国餐厅;牛扒店(扒房)
citycode:0591|poiid:B024F0ZNBZ|name:金钱豹(福州店)|address:杨桥东路8号东方百货8层|location:119.2988,26.08635|tel:0591-87277899|type:餐饮服务;中餐厅;综合酒楼
citycode:0591|poiid:B024F04A9R|name:世荣沙县小吃(东泰路)|address:东泰路51|location:119.302951,26.084724|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VC6Z|name:味兰屋|address:澳门路8号(近林则徐纪念馆)|location:119.29764,26.078451|tel:0591-87768333|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B0FFF2GMWJ|name:老伊海全国连锁01|address:道山路88|location:119.29817,26.078277|tel:13799404348|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0ZF3U|name:晋江会馆|address:鼓楼区三坊七巷文儒坊|location:119.29476,26.081564|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0ZN9F|name:相逢客(省妇幼店)|address:道山路89号思景大楼19号店面|location:119.299545,26.078159|tel:0591-87623465|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0U0QX|name:喜福荟|address:三坊七巷营房里20号|location:119.296239,26.07915|tel:0591-87766837|type:餐饮服务;中餐厅;海鲜酒楼
citycode:0591|poiid:B024F04Y2H|name:福州亮嫂奇味小吃(道山铺)|address:道山路109号(省妇幼保健院斜对面)|location:119.299022,26.078129|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VISM|name:宗河小吃店|address:津泰路191|location:119.303845,26.081525|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F04GVS|name:神田食铺(道山路店)|address:道山路104号(省妇幼保健院斜对面)|location:119.298863,26.07813|tel:0591-62756763|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F01L0J|name:重庆名小吃(东泰路)|address:东泰路39|location:119.302827,26.085055|tel:13067221482|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:0591|poiid:B024F0VAP6|name:怡宴(三坊七巷)|address:三坊七巷营房里18号(近安泰河)|location:119.296181,26.079118|tel:0591-87760519|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F04VM3|name:正宗兰州马家拉面(东泰路)|address:东泰路33|location:119.302781,26.085149|tel:0591-87626955|type:餐饮服务;中餐厅;清真菜馆|餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F05W7F|name:康师傅私房牛肉面(杨桥东路)|address:八一七路70号|location:119.298784,26.086525|tel:0591-88077778|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VQ1E|name:沙和尚云南过桥米线|address:八一七北路268号冠亚美食城3号1楼07铺面|location:119.30068,26.07819|tel:13960887577|type:餐饮服务;中餐厅;中餐厅
