citycode:029|poiid:B001D0WGC5|name:稻香村餐厅|address:未央路112号经贸宾馆2层|location:108.946191,34.307923|tel:029-82126100|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0W2K5|name:文景食府|address:凤城南路纬二十九街188号西侧|location:108.941664,34.302458|tel:029-86277807|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D14QP1|name:姐弟俩土豆粉|address:凤城一路42号(雅荷花园附近)|location:108.950546,34.313924|tel:15291815898;029-86107214|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0VWUL|name:泾阳老张菠菜面|address:凤城一路途88号斜对面(雅荷花园)|location:108.950406,34.314021|tel:13629262299|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D08VCF|name:铁蛋鸡汤刀削面(凤城一路分店)|address:凤城一路与文景路十字西南角|location:108.950597,34.313926|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WK4A|name:十三朝火锅|address:未央路92号|location:108.946774,34.30139|tel:029-88555422;029-86363886|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D0YCRU|name:杨旭骨汤面|address:凤城一路雅荷花园|location:108.950622,34.314076|tel:029-84061192|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0VYLP|name:姚记蜀香鱼|address:凤城一路东段388号对面|location:108.950863,34.313986|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D15M6F|name:郷味隆跷脚牛肉|address:北二环与开元路交叉南50米明园小区北门西50米(上林苑幼儿园对面)|location:108.95452,34.30847|tel:15319969442|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:029|poiid:B001D0Z1E5|name:大城小厨|address:文景路79号邮政住宅小区2号高层20楼203室|location:108.93934,34.3038|tel:029-68888081|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D11XA9|name:大男孩_私家臻品|address:凤城二路赛高国际三号楼一单元1606室(大千骨头王火锅向南100米路西)|location:108.94698,34.31531|tel:029-86472668;18991950534|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D0YXLG|name:捌零时光私房火锅餐厅|address:未央路126号赛高国际C座10楼1001室(近凤城二路)|location:108.94698,34.31531|tel:029-86137757;13891909272;13152345956|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D0YBTJ|name:80记忆馆|address:未央路126号赛高国际A座0902室(近凤城二路)|location:108.94698,34.31531|tel:029-86137751|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D0YL2E|name:奇顺岐山面|address:未央路|location:108.946872,34.315337|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D08LX6|name:必胜客(未央餐厅)|address:西安经济开发区未央路126号赛高国际|location:108.946909,34.315416|tel:029-86178535;4008123123|type:餐饮服务;快餐厅;必胜客
citycode:029|poiid:B001D0YLHU|name:橘子家家庭餐馆|address:凤城一路120号赛高国际小区3号楼2单元11号楼(近人人乐超市)|location:108.946728,34.315461|tel:029-87501500|type:餐饮服务;中餐厅;西北菜
citycode:029|poiid:B001D0VYZT|name:鸿盛德面庄|address:凤城南路西段17号(近纬二十九街)|location:108.940585,34.302507|tel:13700299200|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0W2WW|name:松园酸菜鱼火锅(西安总店)|address:纬二十九街西口17号|location:108.940525,34.302507|tel:029-86240078|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D0VP3P|name:灿烂阳光|address:泰德大厦|location:108.939779,34.313433|tel:029-82081888;029-86192809;029-82081666|type:餐饮服务;中餐厅;综合酒楼
citycode:029|poiid:B001D0YYCZ|name:家味快餐|address:未央路124号(近雅荷花园)|location:108.94698,34.315598|tel:4008333029|type:餐饮服务;快餐厅;快餐厅
citycode:029|poiid:B001D11DA5|name:杨记凉皮肉夹馍|address:凤城一路紫玉公馆门口东侧|location:108.93898,34.312843|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B0FFF37MAZ|name:凤壹九号商务会所|address:凤城一路9号|location:108.94309,34.315266|tel:029-86511918|type:餐饮服务;外国餐厅;西餐厅(综合风味)
citycode:029|poiid:B001D0W0D8|name:齐月岐山面馆(未央路)|address:凤城南路西段2号|location:108.946706,34.30079|tel:029-86312987;029-86267608;029-86258807|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WEW0|name:美厨美食广场|address:西安经济开发区未央路126号赛高国际3层|location:108.94693,34.315682|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D11NLB|name:聚缘食府|address:凤城一路与开元路交汇处向南210米路东|location:108.953994,34.311883|tel:18681867132|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0YOAL|name:淮扬轩|address:凤城一路|location:108.952516,34.313613|tel:029-88932003|type:餐饮服务;中餐厅;浙江菜
citycode:029|poiid:B001D0YYBP|name:三加六私房菜|address:方新村北凤城南路东段双龙花园A区2层|location:108.950226,34.301403|tel:029-86271488|type:餐饮服务;中餐厅;西北菜
citycode:029|poiid:B001D11Y3M|name:川香小面|address:凤城二路与未央路十字赛高国际3楼美厨美食广场内(近苏宁电器)|location:108.94701,34.31585|tel:|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:029|poiid:B001D0W1RZ|name:凤凰楼|address:西安经济开发区未央大道115号|location:108.947825,34.315913|tel:029-86100000;029-86211111|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D09NI1|name:大千骨头王火锅|address:未央路126号|location:108.946968,34.316028|tel:029-86122000;029-88855741|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D0WLTS|name:竹签烧烤园|address:未央路80号对面|location:108.947809,34.30044|tel:|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:029|poiid:B001D0YM32|name:桦飞铁板烧|address:凤城南路(双龙花园对面)|location:108.950595,34.301259|tel:029-88523443|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:029|poiid:B001D0WOSM|name:蔡真真味砂锅过桥米线|address:双龙花园南侧|location:108.950525,34.301182|tel:|type:餐饮服务;中餐厅;云贵菜
citycode:029|poiid:B001D0WOQD|name:老西安三鲜煮馍|address:未央路-凤城南路北关新村双龙花园6号楼|location:108.950533,34.301103|tel:029-86279875;029-81155485|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0ZO3Y|name:香满园川菜馆|address:凤城一路东段259号对面|location:108.950854,34.315224|tel:|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:029|poiid:B001D06NSM|name:肯德基|address:未央大道赛高国际2期|location:108.947002,34.316402|tel:029-86528427|type:餐饮服务;快餐厅;肯德基
citycode:029|poiid:B001D09D7S|name:味千拉面(西安赛高店)|address:未央大道赛高国际2期2层|location:108.947004,34.316533|tel:029-86178031|type:餐饮服务;快餐厅;快餐厅
citycode:029|poiid:B001D09KNV|name:郝老四香猪蹄|address:凤城南路西段(近文景路)|location:108.939287,34.301898|tel:029-86286786|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WETO|name:众家灯火煎饼庄(赛高店)|address:未央路121号|location:108.947833,34.316534|tel:029-86563229;029-68616313|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D09TFB|name:咱老陕的饭|address:文景路中段|location:108.936511,34.311721|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D15N7I|name:佳家私房菜|address:北二环凤鸣路贾家花园小区4号楼103室|location:108.936005,34.310802|tel:029-86470531|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0ZLSK|name:弘扬川菜|address:凤城南路西段9号北侧|location:108.936291,34.304701|tel:029-86285221|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:029|poiid:B001D09KY0|name:老蒲城食府|address:二府庄路1-4|location:108.947847,34.299575|tel:029-81181551|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0Z21Z|name:志盛和|address:凤城一路东段303号对面|location:108.954512,34.313648|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WCK8|name:老米家大雨泡馍店|address:二环北路西段佳家SPORT旁|location:108.935629,34.31057|tel:|type:餐饮服务;中餐厅;清真菜馆
citycode:029|poiid:B001D0WDTF|name:千家粗粮王(北郊店)|address:未央路125号第5国际A座3-02号|location:108.947955,34.317065|tel:029-86212313;4000880024|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WDNV|name:8鲜锅海|address:未央路125号第5国际A座|location:108.947955,34.317065|tel:029-88115666|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WH59|name:阿歪梭边鱼火锅(北郊文景路店)|address:文景路61号|location:108.939305,34.301082|tel:4000298700;029-86260561;029-86288270|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D0ZR40|name:老兵面馆|address:凤城一路东段173号|location:108.954817,34.313649|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WMJV|name:宁夏会馆|address:北二环中段明珠家居的西侧龙盛酒店|location:108.956981,34.309315|tel:029-86230088;029-86262666;029-86231188|type:餐饮服务;中餐厅;综合酒楼
citycode:029|poiid:B001D08LYB|name:海底捞火锅(经开店)|address:未央路130号凯鑫国际大厦3层|location:108.94646,34.317381|tel:029-86563124;029-86563134;4008107107;18189237455|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D014A4|name:怡宝食苑|address:凤城二路12号|location:108.945728,34.317585|tel:029-86525604|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WG43|name:金土地食府|address:凤城二路新世纪大厦1幢1-2层(省消防总队对面)|location:108.944064,34.317508|tel:029-86101199|type:餐饮服务;中餐厅;综合酒楼
citycode:029|poiid:B001D093P3|name:蜀湘会馆|address:未央路130号凯鑫大厦2楼(近凤城二路)|location:108.94694,34.317627|tel:|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:029|poiid:B001D0WGES|name:三江野生大鱼坊(西安总店)|address:西安经济技术开发区凤城二路16号新世纪1层|location:108.944006,34.31754|tel:029-86527788|type:餐饮服务;中餐厅;综合酒楼
citycode:029|poiid:B001D13MWF|name:朱军鱼庄(凤城二路店)|address:凤城二路新世纪大厦2层|location:108.944147,34.317565|tel:029-87621958|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0YMF8|name:快餐长廊|address:凤城二路未央路口东(近岗家寨)|location:108.94929,34.31733|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:029|poiid:B001D0WFPT|name:北京老铺|address:经济技术开发区凤城二路口第五国际5楼(未央路)|location:108.948131,34.317668|tel:029-68850888|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D12FW3|name:王二擀面皮凤城二路店|address:凤城二路十字东南角|location:108.93903,34.31598|tel:15209225896|type:餐饮服务;快餐厅;快餐厅
citycode:029|poiid:B001D0X0MW|name:京福楼(凤城二路店)|address:凤城二路6号(近202路车终点站)|location:108.94871,34.317646|tel:029-86510606|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D0WCYE|name:美得美凤城二路小吃城|address:凤城二路|location:108.948628,34.317665|tel:029-86192619|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WLOW|name:碧树银台养生宴|address:北二环中段路南910号(明珠家居西侧)维嘉酒店5F|location:108.957694,34.309117|tel:029-86563333;029-86350017|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D139HR|name:029私房西餐厅|address:凤城二路与文景路十字东南角海璟国际10号楼1单元305室|location:108.93812,34.31546|tel:18092661668|type:餐饮服务;外国餐厅;西餐厅(综合风味)
citycode:029|poiid:B001D0X545|name:新概念文景酒楼|address:文景北路10号(凤城一路十字)|location:108.937394,34.315078|tel:13572186114;029-86276915;029-88110018;029-88110028|type:餐饮服务;中餐厅;综合酒楼
citycode:029|poiid:B001D0Z25Y|name:仟禧麻辣烫凤城一路店|address:凤城一路东段259号斜对面|location:108.956101,34.313671|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D11IWD|name:春生芽葫芦头泡馍|address:凤城一路东(近南康村)|location:108.956077,34.313701|tel:029-81070008|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D09UFW|name:麦当劳(未央路店)|address:凤城二路10号|location:108.947535,34.318101|tel:029-88359766;029-86101477;4008517517|type:餐饮服务;快餐厅;麦当劳
citycode:029|poiid:B001D14QM5|name:老四川砂锅|address:玄武门路附近|location:108.934409,34.30521|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WNA6|name:袁记肉夹馍|address:文景路凤城二路十字东南角民生家乐购物广场一层底商(近海璟国际)|location:108.938158,34.315912|tel:18291837582|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D12NFR|name:客满乐美食城|address:凤城二路与文景路十字东南角|location:108.93902,34.316465|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D136MP|name:陕北牧歌铁锅炖羊肉|address:文景路与凤城一路十字向西200米(近川海风香辣蟹)|location:108.9358,34.313717|tel:029-83668877|type:餐饮服务;中餐厅;东北菜
citycode:029|poiid:B001D0YZT5|name:盐府盐帮菜|address:未央路方新村政法巷1号|location:108.94756,34.298203|tel:029-86268989;029-68886600|type:餐饮服务;中餐厅;西北菜
citycode:029|poiid:B001D08ZAB|name:福聚德(凤城店)|address:凤城二路17号海洋大厦3层|location:108.944044,34.318219|tel:029-86536788|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:029|poiid:B001D08YUW|name:安顺川菜|address:文景路24号南侧|location:108.938646,34.300146|tel:029-86278361|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:029|poiid:B001D0WDZA|name:京味涮肉坊|address:自强东路向荣街(自强东路派出所南边30米)|location:108.949069,34.318098|tel:029-86510606;15191888655|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D11V61|name:Miss蜜丝私房火锅|address:未央路与凤城二路什字东北角天地时代广场C座30层33011号|location:108.948519,34.318208|tel:18991912717|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D0W2M8|name:碧水源鱼庄|address:凤鸣路102号|location:108.9344,34.311718|tel:029-86216900|type:餐饮服务;中餐厅;海鲜酒楼
citycode:029|poiid:B001D06LH6|name:江海肥牛|address:未央路132号经发大厦4层|location:108.94649,34.318451|tel:029-86525577|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D0WEPR|name:怡心香辣虾涮涮吧|address:凤城一路东段209号鼎新公寓对面|location:108.956523,34.313711|tel:15229237926|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D0W2AY|name:全家福砂锅老店|address:政法巷1-7|location:108.94815,34.298093|tel:029-81224628|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D08V7U|name:成都颐站(凤城二路)|address:凤城二路15号|location:108.943203,34.318283|tel:029-86529988;029-86526668|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D06CGU|name:春燕餐厅|address:政法巷9-1|location:108.948341,34.298084|tel:029-86265559;029-87710319|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D11HB2|name:肯德基(未央餐厅)|address:未央路123号|location:108.942204,34.318067|tel:029-86528427|type:餐饮服务;快餐厅;肯德基
citycode:029|poiid:B001D11WJU|name:马师傅老兰州牛肉面|address:文景路与凤城二路路口东南角(民生家乐购物广场东门)(近赛格电脑城、民生家乐购物广场)|location:108.93843,34.316456|tel:15129213668|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0YLUY|name:青岛啤酒便民广场|address:凤城二路西段|location:108.942093,34.318062|tel:|type:餐饮服务;休闲餐饮场所;休闲餐饮场所
citycode:029|poiid:B001D0Y8SO|name:汉源鱼头火锅店|address:政法巷1号(近华润万家)|location:108.94823,34.298027|tel:|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D1193Y|name:廖记棒棒鸡(凤城二路店)|address:凤城二路与文景路十字民生家乐购物广场1层|location:108.938214,34.316466|tel:18710516401;15829280132|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:029|poiid:B001D0Z1YQ|name:魁星楼耀州蒸饺凤鸣路店|address:凤鸣路|location:108.933873,34.311522|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D12NIB|name:鲜容面馆|address:海璟国际附近|location:108.939,34.31707|tel:13991253031|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0X4VI|name:青都里创作料理(经开店)|address:未央路132号经发大厦2层|location:108.94651,34.318853|tel:029-86525788;029-86529066|type:餐饮服务;外国餐厅;日本料理
citycode:029|poiid:B001D153S9|name:晶煜美食城|address:二环北路东段|location:108.958681,34.310347|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D14L8K|name:FRIEND巢概念餐厅|address:凤城二路(文景路)海璟国际C2-1103室(北郊赛格电子市场旁边的楼上)|location:108.939,34.3172|tel:13891832915;15619329036;029-68756668|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WCME|name:福建沙县小吃|address:城北客运站向西150米|location:108.933736,34.311707|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WVG9|name:佳食特酷酷餐饮连锁店(文景店)|address:文景北路20号枣园安居工程小区37号1层|location:108.938588,34.299415|tel:029-86277618|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D0WGPQ|name:上善轩|address:西安经济技术开发区凤城二路27号天心大厦4层|location:108.940817,34.318191|tel:029-83108666|type:餐饮服务;中餐厅;海鲜酒楼
citycode:029|poiid:B001D0WDAK|name:雍和真味|address:凤城二路10号天地时代广场B座2层|location:108.947721,34.319023|tel:029-86188880;029-89161411|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WD62|name:左邻右舍家常菜|address:文景路41号|location:108.939233,34.298902|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D090EK|name:连心小吃城|address:连心路51西侧|location:108.948743,34.319032|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D14WM9|name:湖南土菜|address:太华北路176号|location:108.948738,34.319087|tel:029-83199687|type:餐饮服务;中餐厅;湖南菜(湘菜)
citycode:029|poiid:B001D0720N|name:祥和面馆|address:政法巷55号|location:108.950921,34.297903|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WN2Z|name:老杨家牛羊肉泡馍|address:政法巷22号|location:108.950265,34.297678|tel:|type:餐饮服务;中餐厅;清真菜馆
