citycode:010|poiid:B000AA177W|name:媛媛面馆(迎宾北路店)|address:怀柔迎宾北路11号|location:116.63755,40.324257|tel:010-69695158|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7PU7A|name:梨花粥馆|address:迎宾中路40号|location:116.637515,40.32052|tel:010-51596263|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7QJKC|name:天明芝火锅|address:怀柔镇|location:116.632183,40.324363|tel:010-69652476|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A7PYVP|name:眉州东坡酒楼(怀柔店)|address:迎宾北路15号|location:116.638022,40.328146|tel:010-59683386;010-57895151;010-69680867;4008527527|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:010|poiid:B000A7WEBL|name:大鸭梨烤鸭(怀柔店)|address:迎宾中路40号|location:116.637742,40.320352|tel:010-51591666;010-51596333|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A8684G|name:岳秀敬民小吃店(迎宾路)|address:迎宾中路31楼|location:116.636981,40.320223|tel:010-69607406|type:餐饮服务;中餐厅;中餐厅|餐饮服务;快餐厅;快餐厅
citycode:010|poiid:B000AA1DNS|name:嘉美康|address:兴怀大街7附近|location:116.640841,40.321378|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A8VRSY|name:三合渔烤鱼|address:斜街87号|location:116.634761,40.320603|tel:13601242210|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A7ZL7F|name:王家渡火锅(怀柔店)|address:迎宾北路15号|location:116.638076,40.328388|tel:010-59683371;010-69696982;010-69696882|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A7XC5Y|name:兰州王黑麦拉面|address:兴怀大街乙14号对面|location:116.634902,40.320413|tel:010-60667116|type:餐饮服务;中餐厅;清真菜馆
citycode:010|poiid:B000A867XT|name:水溢亭韩国料理店|address:迎宾中路甲27号|location:116.636938,40.319861|tel:010-69689921|type:餐饮服务;外国餐厅;韩国料理
citycode:010|poiid:B000A87XNE|name:异特麻辣香锅|address:迎宾中路甲27号楼|location:116.636909,40.319763|tel:18210168618|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A9JK4A|name:老鸭汤|address:青春路(团圆假日饭店对面)|location:116.63047,40.324585|tel:|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A9JMR6|name:锦州烧烤|address:泉河金台园小区113号仁和通医院西300米路南|location:116.6437,40.32515|tel:010-69646910|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A7PFIG|name:黄记煌(迎宾中路店)|address:迎宾中路36号|location:116.637488,40.31913|tel:010-69632077|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A85FS6|name:龙风火锅城|address:青春路北口(青春路环岛东南角供电局对面)|location:116.6308,40.322447|tel:010-69688398|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A87XOK|name:很久以前烤串坊(北京仁和通医院西北)|address:开放路24号(近仁和通医院)|location:116.643773,40.325531|tel:010-80546368|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000AA3YIB|name:海鲜楼生态园|address:迎宾路丁字路口东|location:116.636993,40.319041|tel:010-89685961;010-89681240|type:餐饮服务;中餐厅;海鲜酒楼
citycode:010|poiid:B000A87CJ5|name:严氏麻辣香锅|address:金台园499号(综合服务大厅旁边)|location:116.643953,40.323482|tel:010-69631958|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000AA5C0I|name:麻辣香锅|address:近郊怀柔开放路下园|location:116.643965,40.323473|tel:010-69631958|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A87DEF|name:金盏百合|address:开放路24号(近仁和通医院)|location:116.643918,40.325516|tel:010-69696556;010-69698666|type:餐饮服务;中餐厅;综合酒楼
citycode:010|poiid:B000A87ZUS|name:鑫广泰韩式烤肉|address:迎宾中路32号|location:116.637326,40.318894|tel:010-69691628;010-69691828|type:餐饮服务;外国餐厅;韩国料理
citycode:010|poiid:B000A83DT2|name:全聚德烤鸭店(怀柔店)|address:青春路33|location:116.630278,40.322705|tel:010-69624789|type:餐饮服务;中餐厅;老字号|餐饮服务;中餐厅;北京菜
citycode:010|poiid:B000A87ZUR|name:客拉客串烧工房(怀柔总店)|address:迎宾路与后横街交叉口|location:116.637333,40.31882|tel:010-69698348|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000AA3TM5|name:重庆石锅鱼|address:青春路|location:116.630623,40.326667|tel:|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000AA19AB|name:大德恒兴肥蚬子烤肉火锅|address:怀柔金台园406号|location:116.643524,40.321526|tel:010-69658458|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A87DEJ|name:晓鸡汤自助餐|address:开放路|location:116.644186,40.325931|tel:13051151076|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000AA0MQ6|name:湘满园|address:下园一条附近|location:116.642719,40.320468|tel:|type:餐饮服务;中餐厅;湖南菜(湘菜)
citycode:010|poiid:B000A87B6Z|name:铜锅馆|address:于家园二区18|location:116.641934,40.328655|tel:010-69680101|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A87DEL|name:大厨房(北京仁和通医院北)|address:开放路|location:116.644216,40.32623|tel:010-69603471|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000AA1CNN|name:天天向上大酒楼(开放路店)|address:京客隆对面|location:116.644182,40.326704|tel:13311515325;13716222335|type:餐饮服务;中餐厅;综合酒楼
citycode:010|poiid:B000AA1E7W|name:北京大德恒兴京湘食府|address:金台园406|location:116.643924,40.321433|tel:010-69658458|type:餐饮服务;中餐厅;湖南菜(湘菜)
citycode:010|poiid:B000AA5NXG|name:火中雪冰火锅|address:兴怀大街金台园408号|location:116.64396,40.321472|tel:13716523593|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A7XV6E|name:阳坊胜利涮羊肉(怀柔店)|address:开放路|location:116.645184,40.325166|tel:010-69631200|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A863XT|name:四同活鱼锅|address:怀柔镇开放路下元市场南区东侧小白羊南(综合行政大厅对面)|location:116.645246,40.324966|tel:010-69659718|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A7Q5EQ|name:千杯香酒家|address:下元120|location:116.64417,40.32104|tel:010-69645388|type:餐饮服务;中餐厅;广东菜(粤菜)
citycode:010|poiid:B000A7QWAY|name:新竹烤鸭(北京仁和通医院东北)|address:开放路48号|location:116.645332,40.325379|tel:010-69640561;010-69640562|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A7X2A6|name:千里之外私房菜馆|address:下元119|location:116.644339,40.321041|tel:010-69686311|type:餐饮服务;中餐厅;湖南菜(湘菜)
citycode:010|poiid:B000A9JIO3|name:金丽轩自助烤肉|address:北京近郊怀柔区青春路甲68号(泉河派出所斜对面)|location:116.63075,40.32864|tel:010-69688994|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A9O5UK|name:苗颖竹荪鹅(怀柔店)|address:开放路46号(京客隆超市北)|location:116.645134,40.327236|tel:010-69611387|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A8X4O1|name:胖哥小吃店|address:潘家园村路口|location:116.638404,40.331118|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A87XWE|name:江湖一家|address:开放路甲46号|location:116.645581,40.32679|tel:010-69611788|type:餐饮服务;中餐厅;综合酒楼
citycode:010|poiid:B000A7PTW6|name:勒勒车|address:怀柔镇|location:116.64561,40.326835|tel:010-69611768|type:餐饮服务;中餐厅;综合酒楼
citycode:010|poiid:B000A87XXR|name:天喜鸟酒家|address:开放路46号楼23-24号房|location:116.645526,40.32722|tel:010-69612928|type:餐饮服务;中餐厅;综合酒楼
citycode:010|poiid:B000A7PTBM|name:强福居|address:迎宾中路21号|location:116.637057,40.317218|tel:010-69696200|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7WEQE|name:得惠双利巴西烤肉|address:怀柔镇|location:116.630281,40.329046|tel:|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000AA1FGA|name:皖北正宗牛肉板面|address:北斜街附近|location:116.63261,40.330502|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A87XYT|name:怡香园酒楼|address:开放路46号楼21号|location:116.645538,40.327426|tel:010-51591918|type:餐饮服务;中餐厅;综合酒楼
citycode:010|poiid:B000A8X3OZ|name:苗韵竹荪鹅(于家园三区1东南)|address:开放路(于家园三区1东南)|location:116.645535,40.32751|tel:|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A7PLJZ|name:金门粥铺|address:怀柔镇|location:116.646095,40.326755|tel:010-69643283|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A8XD66|name:幸福时光|address:开放路|location:116.64554,40.327793|tel:13810786834;010-69611829|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A831GK|name:比格比萨(怀柔餐厅)|address:青春路21号|location:116.630305,40.319113|tel:010-69643797;010-69633797|type:餐饮服务;快餐厅;快餐厅
citycode:010|poiid:B000A87YUC|name:吃川堂火锅小镇(于家园三区1东)|address:开放路(近京客隆超市)|location:116.645525,40.327904|tel:|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000AA1HJK|name:久久鸭脖王|address:青春路70-5|location:116.630778,40.329837|tel:010-69653727|type:餐饮服务;中餐厅;中餐厅|餐饮服务;餐饮相关场所;餐饮相关
citycode:010|poiid:B000A7PA9Z|name:河间驴肉火烧(北京市于家园社区卫生服务站东)|address:于家园二区南门向东30米|location:116.645048,40.328579|tel:|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A77F53|name:金杰(开放路)|address:怀柔镇|location:116.645638,40.320407|tel:010-69697222;010-89090955|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A085B0|name:团团圆圆饺子城|address:青春路21号|location:116.630327,40.318736|tel:010-69698999|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A8XEB9|name:肯德基(怀柔开放路餐厅)|address:开放路东侧下元场南侧京客隆1层-2层|location:116.646703,40.326325|tel:010-69683206;010-69683207;4008823823|type:餐饮服务;快餐厅;肯德基
citycode:010|poiid:B000A85SU8|name:权金城(北京怀柔店)|address:开放路泉河园2区甲-乙2号|location:116.645088,40.328853|tel:010-69612098;010-69612099|type:餐饮服务;外国餐厅;韩国料理
citycode:010|poiid:B000A83VZH|name:马春餐厅|address:于家园二区甲1号|location:116.644318,40.329568|tel:010-69641126|type:餐饮服务;中餐厅;清真菜馆
citycode:010|poiid:B000A808LP|name:沸腾鱼乡农家菜|address:迎宾北路于家园1区88号|location:116.640369,40.331651|tel:010-69632612|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A85SU4|name:巴西烤肉(开利园小区西北)|address:开放路59号|location:116.645634,40.319893|tel:010-69633190|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000AA1FLQ|name:鑫鑫家常菜馆|address:于家园路附近|location:116.641028,40.33153|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A9PAUG|name:山西刀削面|address:北斜街和潘各长街的交叉口附近|location:116.634145,40.332052|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7C24Z|name:东城阁湘菜馆(府前东街)|address:府前东街22|location:116.638601,40.316132|tel:010-69601937;010-69604903|type:餐饮服务;中餐厅;湖南菜(湘菜)
citycode:010|poiid:B000A8XBK8|name:呷哺呷哺(怀柔青春路店)|address:青春路15号1层C-001|location:116.629831,40.317969|tel:010-61625773;010-61240075;4008177878|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A9UUG6|name:福成自助烤肉|address:青春路15号楼(近传奇瑞丽影城)|location:116.629888,40.317853|tel:010-61625697|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A176DE|name:红楼饭店|address:青春路16|location:116.631051,40.31687|tel:010-69624181;010-69623071;010-69624781|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A83XWK|name:团圆阁|address:青春路45|location:116.630019,40.331136|tel:010-69620999|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:010|poiid:B000A8VO4R|name:阿泰包子|address:府前街12号(京北大世界正门东侧)|location:116.633495,40.315821|tel:010-69696323|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A1FD2F|name:龙凤源酒楼|address:迎宾路北路36号|location:116.639256,40.333025|tel:010-69653895;010-69644308|type:餐饮服务;中餐厅;综合酒楼
citycode:010|poiid:B000A850CO|name:财源吉全鱼宴酒楼|address:云岗商业街B座|location:116.633901,40.315407|tel:010-83319159|type:餐饮服务;中餐厅;综合酒楼
citycode:010|poiid:B000A8X3W1|name:九九嘉烤鸭店(怀柔迎宾路店)|address:迎宾路51号|location:116.638733,40.333499|tel:010-69681478|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A87AHD|name:陈阿婆(怀柔店)|address:迎宾中路16号|location:116.637936,40.314967|tel:4000088689;010-69607688|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A9JK5F|name:乌江鱼|address:开放路|location:116.645256,40.331264|tel:010-61638320|type:餐饮服务;中餐厅;海鲜酒楼
citycode:010|poiid:B000A87Z97|name:雨林沐风涮吧|address:迎宾路10号|location:116.637874,40.314745|tel:|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A084EB|name:大世界美食娱乐城|address:府前街14号物美大卖场京北大世界|location:116.632086,40.315434|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7PTIT|name:阿泰包子(迎宾路)|address:近郊怀柔区迎宾中路16号|location:116.637909,40.314588|tel:010-69601868|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7PCEM|name:红力生食府|address:怀柔三中北侧妇幼停车场|location:116.639402,40.333947|tel:010-69649969|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A87DVV|name:麦当劳(怀柔餐厅)|address:府前街西口|location:116.631,40.315569|tel:010-69659050|type:餐饮服务;快餐厅;麦当劳|餐饮服务;冷饮店;冷饮店
citycode:010|poiid:B000A7OT6W|name:地酉天成酒家|address:怀柔镇|location:116.645803,40.316943|tel:010-69686100|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A8ZDFU|name:佳墨轩|address:北京近郊怀柔区迎宾中路16号(近南大街)|location:116.638046,40.314392|tel:13439146646|type:餐饮服务;中餐厅;东北菜
citycode:010|poiid:B000A7PXMK|name:北京市路顺方舟小吃店|address:府前东街5号|location:116.645925,40.316953|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:010|poiid:B000A849MD|name:九九嘉(怀柔店)|address:商业街3号|location:116.633664,40.314644|tel:010-69694188|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7OQ8W|name:翠宫饭店(府前东街)|address:府前东街7|location:116.646165,40.316978|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A844O7|name:肯德基(怀柔店)|address:府前西街1号怀柔百货大楼配楼|location:116.629725,40.315878|tel:010-69694075|type:餐饮服务;快餐厅;肯德基
citycode:010|poiid:B000A7WH16|name:福成肥牛(怀柔店)|address:迎宾北路59号|location:116.638813,40.334318|tel:010-69697988;010-69697688|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A8VUFP|name:好伦哥(怀柔店)|address:商业街28号楼金地大厦|location:116.632932,40.314561|tel:010-69628037;010-69625387|type:餐饮服务;快餐厅;快餐厅
citycode:010|poiid:B000AA6YH6|name:姐妹土豆粉|address:南小街|location:116.63392,40.313878|tel:15210331511|type:餐饮服务;快餐厅;快餐厅
citycode:010|poiid:B000A8X4JM|name:川天椒麻辣烫(怀柔分店)|address:南马道|location:116.633848,40.313862|tel:15911009123|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000AA6UEA|name:老铜锅涮肉|address:近郊东方大街|location:116.64105,40.31395|tel:13501267592|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7VHZR|name:京北海捞|address:梅苑8-7号|location:116.630225,40.333656|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A87XN4|name:田老师红烧肉(迎宾路)|address:南大街|location:116.637563,40.313473|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:010|poiid:B000AA0MFZ|name:安徽正宗牛肉板面|address:东方大街附近|location:116.64137,40.313932|tel:|type:餐饮服务;中餐厅;安徽菜(徽菜)
citycode:010|poiid:B000A879VG|name:阿泰包子(怀柔镇社会矛盾调处中心东)|address:北街|location:116.632797,40.334612|tel:010-69696360|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000AAF4K0|name:8081烧烤|address:北京近郊怀柔区开放路东关二区|location:116.63996,40.313452|tel:|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A8572P|name:福宾铁锅炖鱼|address:泉河二区(环卫局东)|location:116.649256,40.330348|tel:010-51590158|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A8VOZH|name:味道碳烧工作室|address:南大街|location:116.63905,40.313202|tel:13901178063|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A7QABE|name:山珍王酒府|address:怀柔镇|location:116.631666,40.334872|tel:010-69656878|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A8VRCZ|name:杭州风味小吃|address:青春路1院附近|location:116.631053,40.313839|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000AAASWJ|name:一品布衣汤烤锅王怀柔店|address:东关二区14号楼对面(近怀柔五中)|location:116.642715,40.31343|tel:13718443926|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A7PN66|name:利源小吃|address:北大街附近|location:116.642864,40.335105|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A856HK|name:蓬海楼|address:旧宫镇南小街|location:116.633297,40.312809|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000AA7S9L|name:奋斗烤吧|address:怀柔南大街|location:116.63583,40.31242|tel:18210170339|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000AA1E36|name:黄师傅|address:南大街25附近|location:116.633132,40.312654|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000AA1EJN|name:沙县小吃|address:南小街2号|location:116.633722,40.312537|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A8834H|name:正宗香河肉饼(北大街)|address:西直门北大街32号枫蓝国际购物中心B1楼|location:116.643077,40.335553|tel:010-89688166|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A87B2Z|name:兄弟韩式烤肉(南大街)|address:商业街大牌楼斜对面|location:116.634388,40.312132|tel:13701130288|type:餐饮服务;外国餐厅;韩国料理
citycode:010|poiid:B000A85392|name:龙泉鱼村|address:怀丰公路89公里处左侧|location:116.639315,40.336685|tel:|type:餐饮服务;中餐厅;海鲜酒楼
citycode:010|poiid:B000A87A5V|name:九九嘉烤鸭店|address:南大街23|location:116.63212,40.31219|tel:010-69650799|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A87A5Z|name:成都小吃(青春路)|address:青春路2-16|location:116.631162,40.312419|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7RGNA|name:北京谛恩彼餐饮有限公司|address:府前西街5号|location:116.624593,40.31587|tel:010-69648557|type:餐饮服务;外国餐厅;韩国料理
citycode:010|poiid:B000A23BA4|name:富乐兴酒家|address:北京市怀柔区怀北大街26号|location:116.644938,40.336133|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7Q0FQ|name:密州酒家|address:开放路76－1号|location:116.644955,40.336292|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000AA1H80|name:一手东北菜|address:南关街附近|location:116.633303,40.310973|tel:|type:餐饮服务;中餐厅;东北菜
citycode:010|poiid:B000A87B2Q|name:巴蜀酒店|address:迎宾中路3|location:116.638518,40.310435|tel:010-69687784;010-69681540;010-69691808|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:010|poiid:B000A7PG3L|name:汇都家园食府|address:怀柔区南大街33号|location:116.628542,40.311163|tel:010-69652611|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A807DW|name:老诚一锅火锅(怀柔店)|address:南大街8号|location:116.632413,40.30931|tel:|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A884PG|name:乐富豪|address:北京近郊怀柔区青春路90号|location:116.630172,40.339097|tel:13661086799|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7QU17|name:小城人家|address:怀耿路|location:116.642773,40.309092|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7CDUP|name:金百万烤鸭(南华大街)|address:南环路2号|location:116.635549,40.308504|tel:|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A690E1|name:逢生缘酒楼|address:南环路中段建行储蓄所1层|location:116.634962,40.308494|tel:010-69688818|type:餐饮服务;中餐厅;综合酒楼
citycode:010|poiid:B000A3D669|name:四川小角楼酒|address:北京近郊怀柔区南华大街8号|location:116.634657,40.308387|tel:|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:010|poiid:B000A87W5X|name:德诚酒楼|address:怀柔区南大街15号国税局对面(怀柔融兴村镇银行对面)|location:116.632935,40.308472|tel:010-69680199|type:餐饮服务;中餐厅;综合酒楼
citycode:010|poiid:B000A85STK|name:阿泰包子|address:南关街|location:116.633136,40.308421|tel:010-69656684|type:餐饮服务;快餐厅;快餐厅
citycode:010|poiid:B000A29615|name:聚香园食府|address:北宅|location:116.632955,40.308414|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A26B8D|name:粥旺府|address:北宅|location:116.631735,40.308445|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7PLQN|name:金日兴|address:南关街209号|location:116.633536,40.308124|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A8781J|name:聚香园家常菜|address:富乐大街|location:116.635806,40.341479|tel:010-69653551|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A9P9TE|name:阿泰包子|address:大中富乐|location:116.635946,40.341523|tel:010-89683958|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A84XMO|name:东北大院|address:南大街|location:116.628871,40.308041|tel:|type:餐饮服务;中餐厅;东北菜
citycode:010|poiid:B000A7PPWI|name:聚乐生态美食园|address:富乐大街2号|location:116.642117,40.34136|tel:010-89681240;010-89685961|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7XE0A|name:香花村海鲜楼|address:富乐大街2号|location:116.643062,40.3413|tel:010-89685806;010-89685961;010-89681240|type:餐饮服务;中餐厅;海鲜酒楼
citycode:010|poiid:B000A7Q1Z2|name:南来旺食府(富乐大街)|address:怀柔镇|location:116.640287,40.341978|tel:010-89683358|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A0A5C7|name:富乐宫假日酒店|address:北京近郊怀柔区富乐大街8号|location:116.642303,40.341816|tel:|type:餐饮服务;中餐厅;综合酒楼
citycode:010|poiid:B000A7QHZL|name:谭氏官府菜(京加路)|address:怀柔镇|location:116.642439,40.341796|tel:010-89687999|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A8620N|name:鲟香来绿色生态园|address:开放路富乐环岛东100|location:116.647546,40.340972|tel:010-69691008;010-89682008|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7QURK|name:笑哈哈麻辣烫火锅店|address:富乐大街5号楼北50米|location:116.637176,40.342874|tel:13716117568|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7PV2S|name:利云居酒楼|address:北宅|location:116.633457,40.305858|tel:010-69622772|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A9JD1V|name:九九嘉(迎宾路店)|address:迎宾北路51号近北大街|location:116.641454,40.342766|tel:010-69681478|type:餐饮服务;中餐厅;北京菜
citycode:010|poiid:B000A9IM2N|name:田源鸡火锅(怀柔店)|address:兴怀大街17号|location:116.642774,40.343199|tel:010-69632499|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A9OLME|name:老街坊食府|address:大中富乐村313号|location:116.637942,40.34385|tel:13717918595|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7R7W8|name:北京赵氏食府|address:怀柔镇|location:116.643635,40.343474|tel:010-89686406|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A87VN6|name:阿泰包子(怀耿路)|address:怀耿路|location:116.654243,40.308913|tel:010-86509771|type:餐饮服务;快餐厅;快餐厅
citycode:010|poiid:B000A7QPYD|name:温暖如家饺子馆|address:京加路和开放路的交叉口附近|location:116.644041,40.344097|tel:|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A7PY1D|name:绿水湖畔美食城|address:北宅|location:116.622868,40.306279|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A9JLWX|name:铁锅柴鸡|address:近郊王化村五行加油站东200米|location:116.664585,40.321588|tel:010-69641456;13810844123|type:餐饮服务;中餐厅;火锅店
